transactionId,accountId,amount,timestamp,merchantId
T001,A001,100.0,1000000000,M001
T002,A001,150.0,1000010000,M002
T003,A001,120.0,1000020000,M001
T004,A002,50.0,1000000000,M001
T005,A002,60.0,1000010000,M001
T006,A002,55.0,1000020000,M002
T007,A002,65.0,1000030000,M001
T008,A002,70.0,1000040000,M003
T009,A002,75.0,1000050000,M002
T010,A003,100.0,1000000000,M001
T011,A003,100.0,1000010000,M001
T012,A003,100.0,1000020000,M001
T013,A003,500.0,1000030000,M001
T014,A004,100.0,1000000000,M001
T015,A004,100.0,1000010000,M002
T016,A004,100.0,1000020000,M003
T017,A004,100.0,1000030000,M004
T018,A001,80.0,1000100000,M001
T019,A002,90.0,1000110000,M001
T020,A005,200.0,1000120000,M010
T021,A005,210.0,1000130000,M010
T022,A006,100.0,1000140000,M001
T023,A006,100.0,1000150000,M001
T024,A006,100.0,1000160000,M001
T025,A006,350.0,1000170000,M002
T026,A007,100.0,1000180000,M001
T027,A007,100.0,1000190000,M002
T028,A007,100.0,1000200000,M003
T029,A007,100.0,1000210000,M001
T030,A007,100.0,1000220000,M002
T031,A007,500.0,1000230000,M004
